din,brand_name,atc_description,prior_shortage_count,manufacturer_count,days_since_last_shortage,risk_score
717002.0,VIADERM KC CRM,"CORTICOSTEROIDS, COMB WITH ANTIBIOTICS",38,28.0,1120.0,0.9966250672992714
2293838.0,APO-LANSOPRAZOLE,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),36,17.0,940.0,0.9965688126302099
2245523.0,"TARO-CLOBETASOL CREAM USP, 0.05%","CORTICOSTEROIDS, PLAIN",31,17.0,939.0,0.9909563278148805
592277.0,APO NAPROXEN TAB 500MG,"ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.,NON-STEROIDS",31,22.0,1207.0,0.9884320554702761
812382.0,CLOTRIMADERM CREAM 1%,ANTIFUNGALS FOR TOPICAL USE,29,11.0,1002.0,0.986696685398184
608165.0,RATIO-OXYCOCET,OPIOIDS,29,173.0,1101.0,0.9856087508237359
2258692.0,COSOPT,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,27,32.0,774.0,0.9849786609103494
2396467.0,APO-MELOXICAM,,27,24.0,857.0,0.9824781450211063
2172739.0,OMNIPAQUE 240,"X-RAY CONTRAST MEDIA, IODINATED",27,1.0,801.0,0.9807143639948428
2326973.0,SANDOZ CANDESARTAN,"ANGIOTENSIN II ANTAGONISTS, PLAIN",25,30.0,865.0,0.9781339569767353
2421186.0,TARO-TESTOSTERONE,ANDROGENS,24,5.0,842.0,0.9760292870179029
1985205.0,CREON MINIMICROSPHERES 25,"DIGESTIVES, INCL ENZYMES",25,33.0,1149.0,0.9708032290202872
60348.0,DEXTROSE 5% INJ 5GM/100ML USP,I.V. SOLUTIONS,27,101.0,1501.0,0.9692518734713715
37842.0,SODIUM CHLORIDE INJECTION USP,I.V. SOLUTION ADDITIVES,24,196.0,725.0,0.9677853463674971
2340208.0,SANDOZ TAMSULOSIN CR,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,22,15.0,802.0,0.9651022839000668
2045702.0,TEVA-SUCRALFATE,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),23,8.0,1128.0,0.9637795107457241
60208.0,SODIUM CHLORIDE 0.9% INJ 900MG/100ML USP,I.V. SOLUTION ADDITIVES,25,196.0,1484.0,0.9583700314739554
2245524.0,"TARO-CLOBETASOL OINTMENT USP, 0.05%","CORTICOSTEROIDS, PLAIN",22,17.0,1002.0,0.9549774461228225
